id_norma,titulo,categoria,categoria_reforma,prioridad,impacto_economico,complejidad_burocracia,legislative_action,negative_effects,reason
1151403,"REAJUSTA EL MONTO DEL INGRESO MÍNIMO MENSUAL, ASÍ COMO LA ASIGNACIÓN FAMILIAR Y MATERNAL, Y EL SUBSI",Ingreso Mínimo desde el año 1990 -,modernizacion,7,alto,media,Reformar el monto del ingreso mínimo a un sistema más flexible que considere la variabilidad del costo de vida y la situación económica de las empresas.,"Puede generar desempleo juvenil y aumentar la informalidad laboral, ya que las empresas pueden optar por no contratar o despedir trabajadores para cumplir con el aumento de costos.","Aunque el objetivo de aumentar el ingreso mínimo puede ser visto como positivo para mejorar el bienestar de los trabajadores, la imposición de un salario mínimo puede generar distorsiones en el mercad"
22740,CODIGO DE PROCEDIMIENTO CIVIL,Endeudamiento y Crédito,modernizacion,7,medio,alta,Reformar los artículos para simplificar procedimientos y fomentar el uso de tecnología en la tramitación judicial.,"Burocracia excesiva que puede dificultar el acceso a la justicia, especialmente para PYMEs y ciudadanos comunes.","Si bien el Código de Procedimiento Civil es fundamental para el funcionamiento del sistema judicial y la protección de derechos, su antigüedad y complejidad generan ineficiencias y obstáculos para el "
269892,ESTABLECE REFORMA PREVISIONAL,Accesibilidad Universal,simplificacion,7,medio,alta,"Revisar y simplificar los procedimientos administrativos, evaluar la sostenibilidad fiscal y considerar incentivos para el ahorro privado.","Barreras de entrada para el ahorro privado, aumento del gasto fiscal sin un retorno claro en términos de eficiencia económica.","Aunque la ley busca mejorar la cobertura previsional, su implementación genera una carga fiscal significativa y puede desincentivar el ahorro privado. Además, introduce complejidades burocráticas que "
28393,CREA LA COMISION CHILENA DE ENERGIA NUCLEAR,Energía Nuclear,desregulacion,7,medio,alta,"Reformar la ley para permitir la participación del sector privado en la producción y manejo de energía nuclear, estableciendo regulaciones claras y seguras.","Barreras de entrada para empresas privadas en el sector energético nuclear, lo que puede limitar la innovación y la eficiencia.","Si bien la regulación de la energía nuclear es esencial para la seguridad y el desarrollo energético del país, la creación de un organismo estatal que monopoliza la producción y manejo de energía nucl"
150669,SOBRE CONCESIONES DE ENERGIA GEOTERMICA,Energía Renovable,simplificacion,7,medio,alta,Simplificar los requisitos de solicitud de concesiones y reducir los plazos de respuesta del Ministerio de Energía.,Puede generar barreras de entrada para PYMEs y nuevos inversores en el sector energético.,"Si bien la ley busca fomentar el uso de energía renovable, impone una serie de requisitos y procedimientos que pueden restringir la libre competencia y la entrada de nuevos actores al mercado. Es nece"
1078148,CREA UN SISTEMA DE PROTECCIÓN FINANCIERA PARA DIAGNÓSTICOS Y TRATAMIENTOS DE ALTO COSTO Y RINDE HOME,Enfermedades Catastróficas,simplificacion,7,medio,alta,"Reformar el proceso de aprobación de tratamientos para permitir una mayor flexibilidad y competencia en el sector, así como simplificar los trámites necesarios para acceder a la protección financiera.",Puede generar barreras de entrada para nuevos proveedores de salud y limitar la variedad de tratamientos disponibles al depender de un sistema regulado por el estado.,"Si bien la ley busca proteger a los pacientes de altos costos en tratamientos médicos, su implementación genera una burocracia significativa y puede restringir la libre competencia en el sector salud "
1130840,"ESTABLECE EL FINANCIAMIENTO, REGULA LA EJECUCIÓN Y DICTA OTRAS NORMAS PARA LA IMPLEMENTACIÓN DE LA C",Cambio Climático,simplificacion,7,medio,alta,"Reformar para incluir mecanismos de transparencia y rendición de cuentas más estrictos, y evaluar el impacto económico real del evento.",Barreras de entrada para PYMEs en la participación del evento debido a la centralización de la organización en una sola fundación.,"Aunque la organización de eventos internacionales puede tener beneficios económicos y de imagen para el país, la ley implica un gasto fiscal significativo sin un retorno económico claro. Además, la es"
30391,MODIFICA LEY N° 18.480,Aduanas,simplificacion,7,medio,alta,"Simplificar el sistema de reintegros eliminando las múltiples tasas y criterios de exclusión, y considerar un sistema más uniforme y menos burocrático.",Barreras de entrada para nuevos exportadores que no pueden competir con empresas establecidas que reciben mayores beneficios.,"Aunque el objetivo de fomentar exportaciones es válido, la complejidad del sistema de reintegros y exclusiones puede distorsionar el mercado y crear ineficiencias. La implementación actual puede favor"
29819,CREA LA SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,Gas,simplificacion,7,medio,alta,"Reformar la ley para simplificar los procesos de concesión y fiscalización, y reducir las facultades de la superintendencia en aspectos que no comprometan la seguridad pública.",Burocracia excesiva que puede dificultar la entrada de nuevos actores al mercado y aumentar los costos operativos para las empresas existentes.,"Si bien la regulación busca asegurar la calidad y seguridad en el suministro de energía y combustibles, la existencia de una superintendencia con amplias facultades puede generar una burocracia excesi"
1095541,ESTABLECE UN SISTEMA DE APORTES AL ESPACIO PÚBLICO,Construcciones y Sismicidad,simplificacion,7,medio,alta,Simplificar el proceso de aprobación de informes de mitigación y permitir mayor flexibilidad en la ejecución de aportes mediante incentivos de mercado.,"Barreras de entrada para desarrolladores pequeños, aumento de costos de construcción, posible demora en la aprobación de proyectos.","Aunque la ley busca internalizar externalidades del desarrollo urbano, el enfoque centralizado y burocrático puede generar barreras de entrada y costos adicionales para los desarrolladores, afectando "
1168876,"MODIFICA LA RESOLUCIÓN N° 672 EXENTA, DE 2021, DEL MINISTERIO DE SALUD, QUE ESTABLECE PLAN FRONTERAS",Sanitarias,simplificacion,7,medio,alta,"Revisar y simplificar los requisitos de aislamiento y validación de vacunación, permitiendo excepciones basadas en evidencia científica.","Restricciones a la libre circulación de personas, lo que puede afectar el comercio y la movilidad de ciudadanos y turistas.","Si bien la norma busca proteger la salud pública en un contexto de emergencia sanitaria, impone restricciones significativas a la libre circulación de personas y puede generar costos adicionales para "
30147,"NORMAS COMPLEMENTARIAS DE ADMINISTRACION FINANCIERA, DE INCIDENCIA PRESUPUESTARIA Y DE PERSONAL",Aduanas,simplificacion,7,medio,alta,"Revisar y simplificar las disposiciones que introducen burocracia innecesaria, especialmente en aduanas y previsión social.",Barreras burocráticas en el comercio exterior y potenciales distorsiones en el mercado laboral.,"La ley contiene múltiples disposiciones que afectan diferentes sectores, algunas de las cuales pueden ser necesarias para la administración pública eficiente, pero otras pueden introducir burocracia i"
221104,OTORGA UN MEJORAMIENTO ESPECIAL A LOS PROFESIONALES DE LA EDUCACION QUE INDICA,Educación Media,simplificacion,7,alto,alta,"Reformar el sistema de subvenciones para permitir mayor flexibilidad y competencia, y considerar la eliminación de la fijación de remuneraciones mínimas.","Puede desincentivar la innovación y la competencia entre establecimientos educativos, creando una dependencia de la subvención estatal.","Si bien la ley busca mejorar las condiciones salariales de los docentes, su implementación crea una carga fiscal significativa y puede generar dependencia de recursos estatales. Además, la fijación de"
1202434,LEY MARCO DE CIBERSEGURIDAD,Ciberseguridad,simplificacion,7,medio,alta,Simplificar las obligaciones para las PYMEs y promover la auto-regulación en sectores menos críticos.,"La imposición de requisitos de ciberseguridad puede ser onerosa para las PYMEs, creando barreras de entrada y aumentando los costos operativos.","Aunque la ley busca proteger la infraestructura crítica y mejorar la ciberseguridad, la creación de una nueva agencia y la imposición de múltiples obligaciones pueden aumentar la burocracia y los cost"
29631,CONCEDE BONIFICACIONES COMPENSATORIAS A LOS TRABAJADORES DEL SECTOR PÚBLICO Y ESTABLECE NORMAS DE CA,Aduanas,simplificacion,7,medio,alta,"Reformar el sistema de bonificaciones para integrarlo en un esquema de remuneración más sostenible y equitativo, y revisar los artículos relacionados con impuestos para evitar distorsiones económicas.","Genera un costo fiscal elevado y puede crear desigualdades entre trabajadores del sector público y privado. Además, puede incentivar la dependencia de bonificaciones en lugar de ajustes salariales est","La norma busca compensar a los trabajadores del sector público por el costo de vida, lo cual es un objetivo legítimo. Sin embargo, la implementación puede generar distorsiones fiscales y administrativ"
30667,APRUEBA LEY SOBRE BASES GENERALES DEL MEDIO AMBIENTE,Acceso a la Información Pública,simplificacion,7,medio,alta,Simplificar el proceso de evaluación de impacto ambiental y promover la digitalización de trámites para reducir costos y tiempos.,Barreras de entrada a PYMEs debido a costos y tiempos asociados a la evaluación de impacto ambiental.,"Aunque la ley busca proteger el medio ambiente, lo cual es esencial, su implementación puede generar burocracia excesiva y barreras de entrada para nuevos proyectos, especialmente para PYMEs. La ley p"
1042092,ESTABLECE MEDIDAS CONTRA LA DISCRIMINACIÓN,Diversidad Sexual,modernizacion,7,medio,alta,Reformar la definición de discriminación y los procedimientos judiciales para hacerlos más claros y menos susceptibles a abusos.,"Puede generar un aumento en litigios innecesarios y confusión sobre lo que constituye discriminación, afectando la libertad de acción de las empresas y particulares.","Si bien la ley tiene un propósito loable al buscar proteger a las personas de la discriminación, su implementación puede generar un aumento en la burocracia judicial y posibles abusos en la interpreta"
234426,"ESTABLECE LAS BASES GENERALES PARA LA AUTORIZACION, FUNCIONAMIENTO Y FISCALIZACION DE CASINOS DE JUE",Diversos Impuestos,simplificacion,7,medio,alta,Reformar los artículos que limitan la cantidad de casinos y los requisitos excesivos para la obtención de permisos.,Barreras de entrada a nuevos operadores y limitaciones en la competencia en el sector de juegos de azar.,"Si bien la regulación de los casinos de juego puede ser necesaria para proteger el orden público y prevenir fraudes, la ley impone restricciones significativas a la libre competencia y crea una burocr"
28904,CREA CORPORACION DENOMINADA JUNTA NACIONAL DE JARDINES INFANTILES,Educación Parvularia,simplificacion,7,medio,alta,"Reformar la ley para permitir la creación de jardines infantiles sin la necesidad de pasar por la Junta Nacional, y simplificar los requisitos de certificación y supervisión.",Puede generar barreras de entrada para nuevos operadores en el sector educativo y limitar la diversidad de enfoques pedagógicos.,"Si bien la ley busca garantizar el acceso a la educación parvularia, su implementación crea una estructura burocrática que puede limitar la competencia y la libre empresa en el sector educativo. Es ne"
229834,ESTABLECE UN REGIMEN DE GARANTIAS EN SALUD,Auge,simplificacion,7,medio,alta,Simplificar los procesos de acreditación y registro de prestadores de salud para facilitar la entrada de nuevos actores y fomentar la competencia.,"Barreras de entrada para nuevos prestadores de salud debido a requisitos de acreditación y registro, lo que podría limitar la competencia.","Aunque la ley busca asegurar el acceso universal a servicios de salud esenciales, introduce una complejidad burocrática significativa y costos fiscales potencialmente altos. La implementación podría s"
255323,ESTABLECE UN SISTEMA NACIONAL DE ASEGURAMIENTO DE LA CALIDAD DE LA EDUCACION SUPERIOR,Educación Superior,simplificacion,7,medio,alta,Simplificar los procesos de acreditación y permitir mecanismos alternativos de evaluación.,Barreras de entrada para nuevas instituciones de educación superior y aumento de la burocracia estatal.,"Si bien la ley busca mejorar la calidad de la educación superior, su implementación genera una burocracia excesiva y puede restringir la libre competencia al imponer requisitos de acreditación que pue"
239630,REAJUSTA EL MONTO DEL INGRESO MINIMO MENSUAL,Ingreso Mínimo desde el año 1990 -,modificacion,7,medio,baja,"Revisar y ajustar el monto del ingreso mínimo considerando la productividad y el costo de vida, y permitir excepciones para PYMEs.","Aumento del desempleo y la informalidad laboral, especialmente entre jóvenes y trabajadores menos calificados.","Si bien la intención de establecer un ingreso mínimo es proteger a los trabajadores, esta ley puede generar distorsiones en el mercado laboral, como el aumento del desempleo entre los menos calificado"
1028635,"SISTEMA NACIONAL DE ASEGURAMIENTO DE LA CALIDAD DE LA EDUCACIÓN PARVULARIA, BÁSICA Y MEDIA Y SU FISC",Educación Básica,simplificacion,7,medio,alta,"Reformar la ley para simplificar los procesos de evaluación y fiscalización, y permitir mayor autonomía a los establecimientos en la implementación de sus proyectos educativos.","Genera una carga burocrática significativa para los establecimientos, limitando su flexibilidad y capacidad de innovación.","Si bien la ley tiene intenciones positivas al buscar mejorar la calidad educativa, su implementación genera una burocracia considerable y puede restringir la libertad de los establecimientos para oper"
82866,MODERNIZA EL SECTOR PORTUARIO ESTATAL,Administración de Puertos,desregulacion,7,medio,alta,Revisar y modificar artículos que limitan la participación privada y simplificar procesos de concesión.,Barreras de entrada para operadores privados debido a la estructura de concesiones y control estatal.,"La ley busca modernizar y descentralizar la administración portuaria, lo cual es positivo para la eficiencia operativa. Sin embargo, mantiene un fuerte control estatal y podría beneficiarse de una may"
30436,ESTABLECE NORMAS SOBRE ORGANIZACIONES SINDICALES Y NEGOCIACION COLECTIVA,Accidentes del Trabajo y Enfermedades Profesionales,simplificacion,7,medio,alta,"Simplificar el proceso de constitución y funcionamiento de sindicatos, reduciendo requisitos burocráticos y flexibilizando la negociación colectiva.",Barreras de entrada para nuevas empresas debido a la complejidad de la negociación colectiva y potenciales costos adicionales por la obligatoriedad de ciertos beneficios.,"Si bien la ley garantiza derechos fundamentales de asociación y negociación colectiva, su implementación es excesivamente burocrática y restrictiva, lo que puede limitar la libertad económica al impon"
1168407,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,7,alto,alta,"Reformar las medidas de restricción para que sean temporales y basadas en evidencia epidemiológica clara, y establecer mecanismos de compensación para los afectados.","Restricciones a la libre circulación y operación de negocios, afectando especialmente a PYMEs y trabajadores independientes.","Si bien la norma busca proteger la salud pública en un contexto de emergencia sanitaria, su implementación puede restringir la libertad económica y generar incertidumbre en el comercio y la actividad "
30509,REAJUSTA MONTO DE INGRESO MINIMO MENSUAL,Ingreso Mínimo desde el año 1990 -,modernizacion,7,medio,baja,"Revisar y ajustar el monto del ingreso mínimo de acuerdo a criterios de mercado y productividad, considerando un enfoque regional.","Puede generar desempleo al aumentar los costos laborales para las empresas, especialmente PYMEs.","Aunque el ingreso mínimo busca proteger a los trabajadores, su implementación puede generar distorsiones en el mercado laboral, afectando la creación de empleo y la informalidad. Es necesario reformar"
1169476,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,7,alto,alta,"Reformar las medidas sanitarias para incluir criterios claros y temporales, y establecer un mecanismo de revisión que minimice el impacto económico.","Restricciones a la actividad económica de locales y empresas, especialmente en las comunas afectadas, lo que puede llevar a pérdidas significativas y barreras de entrada para nuevos negocios.","Si bien la protección de la salud pública es un objetivo legítimo, las medidas impuestas pueden restringir la libertad económica y la libre empresa, además de generar una burocracia innecesaria en la "
1169742,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,7,alto,alta,"Revisar y ajustar las medidas de restricción para que sean más específicas y temporales, y promover mecanismos de auto-declaración y cumplimiento voluntario cuando sea posible.","Restricciones a la libre circulación y operación de negocios, afectando especialmente a PYMEs y trabajadores independientes.","Si bien la resolución busca proteger la salud pública en un contexto de emergencia, impone restricciones significativas a la libertad económica y la libre circulación de personas, lo que puede afectar"
143005,"MODIFICA EL REGIMEN TRIBUTARIO QUE AFECTA LA IMPORTACION
DE AUTOMOVILES ACOGIDOS A FRANQUICIAS ESPEC",Aduanas,simplificacion,7,medio,alta,"Simplificar el proceso de cálculo y pago de derechos e impuestos, y reducir la intervención de notarios y el Registro Civil en las transferencias.","Barreras de entrada para la importación de vehículos, complejidad en el cumplimiento tributario.","La norma busca regular la importación de vehículos con franquicias especiales, lo cual es razonable para evitar abusos. Sin embargo, la implementación es compleja y puede crear barreras burocráticas i"
1169557,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,7,alto,alta,"Revisar y ajustar las medidas sanitarias para que sean menos restrictivas y más adaptativas a la situación epidemiológica, considerando alternativas menos invasivas.","Restricciones a la libre circulación y operación de negocios, afectando especialmente a PYMEs.","Si bien la protección de la salud pública es esencial, las medidas impuestas pueden restringir la libertad económica y la libre circulación de personas, generando efectos negativos en la actividad com"
1168875,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,7,alto,alta,"Reformar las medidas sanitarias para incluir criterios claros de proporcionalidad y temporalidad, así como mecanismos de revisión periódica.","Restricciones a la libre circulación y actividad económica, afectando especialmente a PYMEs y trabajadores independientes.","Si bien la protección de la salud pública es fundamental, las medidas impuestas pueden restringir la libertad económica y la libre circulación de personas y bienes. Es necesario reformar la implementa"
30516,ESTABLECE REGIMEN ADUANERO Y TRIBUTARIO PARA LAS COMUNAS DE PORVENIR Y PRIMAVERA DE LA PROVINCIA DE ,Aduanas,desregulacion,7,medio,alta,"Revisar y reducir el alcance de las exenciones fiscales, simplificar el proceso de calificación de empresas para reducir burocracia.","Barreras de entrada para empresas que no califican para los beneficios, distorsión de mercado local, dependencia de subsidios.","Aunque la intención es fomentar el desarrollo económico en regiones extremas, la ley introduce distorsiones al mercado al otorgar privilegios fiscales a ciertas empresas, lo que puede afectar la compe"
1077040,CREA LA AUTORIZACIÓN DE FUNCIONAMIENTO DE ESTABLECIMIENTOS DE EDUCACIÓN PARVULARIA,Educación Parvularia,simplificacion,7,medio,alta,Reformar los artículos 3 y 4 para simplificar los requisitos de autorización y permitir un sistema de auto-declaración con auditorías aleatorias.,"Puede generar barreras de entrada para nuevos establecimientos, limitando la oferta educativa y aumentando costos operativos.","Si bien la ley tiene la intención de proteger los derechos de los niños y asegurar estándares de calidad en la educación parvularia, impone requisitos burocráticos que pueden restringir la libre compe"
1022343,REGLAMENTO SOBRE IMPORTACION DE VEHICULOS PARA PERSONAS LISIADAS,Accesibilidad Universal,simplificacion,7,medio,alta,"Simplificar el proceso de certificación y autorización para la importación, permitiendo auto-declaración de la incapacidad y reduciendo la cantidad de trámites requeridos.","Burocracia excesiva que puede desincentivar a las personas lisiadas a solicitar la importación de vehículos, además de posibles barreras de entrada para nuevos competidores en el mercado de vehículos ","Si bien la norma busca facilitar la movilidad de personas lisiadas, impone una burocracia excesiva y requisitos que pueden limitar el acceso a la importación de vehículos. Es necesario simplificar los"
1094691,SOBRE ORGANIZACION DEL REGISTRO MUNICIPAL DE ELECTORES,Legislación Electoral,simplificacion,7,medio,alta,"Reformar los requisitos de inscripción para permitir un acceso más inclusivo al sufragio, eliminando las restricciones basadas en la propiedad y la educación.","Barreras de entrada a ciertos grupos de la población, especialmente a aquellos que no son propietarios o que no cumplen con los requisitos educativos.","Aunque la norma busca organizar el sufragio y garantizar la participación ciudadana, impone requisitos restrictivos que limitan el acceso al voto, como la necesidad de ser propietario o cumplir con ci"
30353,ESTABLECE NORMAS SOBRE REFORMA TRIBUTARIA,Artistas,simplificacion,7,medio,alta,Simplificar el régimen de contabilidad y reducir las cargas administrativas asociadas a las donaciones.,Barreras de entrada para PYMEs debido a la complejidad contable y administrativa.,"La norma introduce complejidades en el sistema tributario que pueden afectar la libertad económica al imponer cargas administrativas significativas. Sin embargo, busca incentivar donaciones culturales"
27344,CREA LA JUNTA DE ADELANTO DE ARICA,Aduanas,simplificacion,7,medio,alta,"Revisar y limitar las exenciones fiscales y aduaneras para evitar distorsiones de mercado, y simplificar la estructura de la Junta para reducir burocracia.","Barreras de entrada para nuevas empresas que no se beneficien de las exenciones fiscales, posible dependencia económica de la región en subsidios estatales.","Aunque la intención de fomentar el desarrollo regional es válida, la creación de una entidad con amplias competencias y exenciones fiscales puede generar distorsiones económicas y dependencia estatal."
244229,CREA Y REGULA EL REGISTRO NACIONAL DE REVISORES INDEPENDIENTES DE OBRAS DE EDIFICACION,Construcciones y Sismicidad,simplificacion,7,medio,alta,Revisar y flexibilizar los requisitos de inscripción y categorías para permitir mayor participación de profesionales calificados.,Barreras de entrada para nuevos profesionales y potencial limitación de la competencia en el sector de revisión de obras.,"Aunque la norma busca asegurar la calidad y seguridad en la construcción, la creación de un registro con requisitos estrictos puede limitar la competencia y crear barreras de entrada para nuevos profe"
1040859,REGULA LA INSTALACIÓN DE ANTENAS EMISORAS Y TRANSMISORAS DE SERVICIOS DE TELECOMUNICACIONES,Contaminación,simplificacion,7,medio,alta,"Simplificar el proceso de permisos y reducir las restricciones de ubicación, especialmente en áreas no críticas, para fomentar la competencia y la inversión.","Barreras de entrada para nuevos operadores debido a la complejidad y costo de los permisos, lo que podría limitar la competencia y el acceso a servicios de telecomunicaciones.","La ley busca equilibrar el desarrollo de infraestructura de telecomunicaciones con la protección del entorno urbano y la salud pública, pero introduce una burocracia compleja que podría ser simplifica"
1206100,INTRODUCE MODIFICACIONES AL CÓDIGO DEL TRABAJO Y OTROS CUERPOS LEGALES EN MATERIA DE INCLUSIÓN LABOR,,simplificacion,7,medio,alta,"Revisar y ajustar las cuotas obligatorias para considerar la capacidad de las empresas, especialmente PYMEs, y fomentar incentivos más que sanciones.","Barreras de entrada para PYMEs, aumento de costos laborales, posible desincentivo a la contratación general.","Aunque la intención de promover la inclusión laboral es positiva, la implementación de cuotas obligatorias puede distorsionar el mercado laboral y generar costos adicionales para las empresas, especia"
221629,"MODIFICA EL D.L. Nº 2.763, DE 1979, CON LA FINALIDAD DE
ESTABLECER UNA NUEVA CONCEPCION DE LA AUTORI",Auge,simplificacion,7,medio,alta,Simplificar el proceso de acreditación y reducir la centralización excesiva de la gestión sanitaria.,Barreras de entrada para nuevos prestadores de salud debido a la complejidad de las acreditaciones y estándares. Potencial para aumentar los costos operativos debido a la burocracia adicional.,"Aunque la norma busca mejorar la gestión del sector salud y la participación ciudadana, introduce una burocracia significativa y centraliza el control en el Ministerio de Salud, lo que puede limitar l"
30441,AUTORIZA EJERCICIO PROFESIONAL A PERSONAS QUE SEÑALA QUE OBTUVIERON TITULOS O GRADOS EN EL EXTRANJER,Educación Superior,simplificacion,7,medio,alta,"Simplificar el proceso de reconocimiento de títulos mediante auto-declaración y validación por parte de instituciones acreditadas, eliminando la necesidad de la Comisión Especial.",Burocracia excesiva que puede desincentivar el retorno de profesionales al país y limitar la oferta laboral en ciertas áreas.,"Aunque la ley busca facilitar la reintegración de profesionales chilenos que regresan al país, su implementación a través de una Comisión Especial crea una burocracia innecesaria que puede restringir "
213493,ESTABLECE FINANCIAMIENTO NECESARIO PARA ASEGURAR LOS OBJETIVOS SOCIALES PRIORITARIOS DEL GOBIERNO,Auge,simplificacion,7,medio,alta,Revisar el impacto del IVA en diferentes segmentos económicos y considerar exenciones o tasas diferenciadas para productos esenciales. Simplificar las regulaciones aduaneras y de tabaco para reducir b,El aumento del IVA puede desincentivar el consumo y afectar desproporcionadamente a las familias de menores ingresos. Las regulaciones adicionales pueden crear barreras de entrada para pequeños comerc,"El aumento del IVA puede tener efectos regresivos al impactar más a los consumidores de menores ingresos, y las regulaciones adicionales sobre el tabaco y aduanas pueden incrementar la burocracia sin "
1168526,DISPONE MEDIDAS SANITARIAS QUE INDICA POR BROTE DE COVID-19,Sanitarias,simplificacion,6,medio,alta,Revisar y ajustar las medidas de aforo y sanciones para asegurar que sean proporcionales y no excesivas.,"Restricciones a la libre competencia y barreras para la realización de actividades económicas, especialmente para PYMEs.","Si bien la protección de la salud pública es un objetivo legítimo, la implementación de estas medidas puede coartar la libertad económica y la libre empresa al imponer restricciones severas. Es necesa"
